ID,duration_sec,distance_m
0x24ac,1017.8,16521.2
0x3f01,1390.1,24808.6
0x628c,1147.1,16456
0x6c38,959.6,11020.9
0x8339,1091.6,14931.1
0x3ec5,1437.3,19927
0xadb4,389.9,6135.7
0x2bc0,1326.4,19063.1
0x99e7,619.3,9996.2
0x39ef,609.5,9523
0xe264,843.2,12199.7
0xbd03,1551,27574.6
0x9a29,1624.6,20461.7
0xa480,1176.5,17096.9
0xb46c,737.5,9439.2
0x7150,195.2,2410.7
0x1e58,851.2,11754.7
0x4460,556.6,5853.7
0x977d,386.1,4391.5
0x1602,1042.3,17293
0x655,305.6,3516.9
0x20f6,1004.2,16963.4
0x3db1,965.2,11439.8
0x8ed2,1238.6,14408.2
0x64cc,2125.2,25080.7
0x2ed0,704.2,11756.5
0x7553,448.2,7387.3
0x35d8,548.5,6758.8
0x4c88,1008.5,16526.6
0xae56,1473.9,24494.2
0x9b79,588.1,7959.1
0x596a,1297.8,16018.8
0x78aa,1852.1,28028.4
0xd7ec,1006.9,13474.8
0x55b1,1560.5,24913.6
0x87e4,1468,17528.6
0x82c3,1085.3,14888.3
0x5397,870.2,14139.6
0x876b,473.8,8374.3
0x3a5a,939.4,10046.3
0x5631,1608.4,20010.4
0x1dac,1012.9,16872
0xde01,1502.4,20637.1
0x8771,1219.7,16519.5
0x3645,218.9,2290.8
0x1ff1,463.5,5884.7
0x4a3c,196.2,2717.7
0x6cc6,978.1,20056.2
0xc141,1291.1,20823
0x690f,1152,16193.7
0xb4ba,694.9,9418
0x63a9,818.1,12891.1
0x88dd,670.4,10524.9
0x87a8,791.7,11150.7
0x3f8d,814.5,13309.1
0x290c,989.1,14295.9
0x7ece,1164.1,13915.9
0x1365,1319.2,16724.4
0x33a4,494.8,6771.1
0x8f3c,498,4789.7
0x2fe1,503.1,5829.9
0x4b5b,1367.3,19586.5
0x7405,922.6,13259
0xd02b,1304.6,17569.5
0x1f0e,918.4,14245.9
0x7085,183.3,2357
0x57fa,998.7,14718
0x57fc,698,8844.4
0x7a1f,1121.1,21582.5
0xceac,969.6,15082.3
0xa0a5,960.4,14896
0x6118,1325.1,20038.5
0x46fd,999.2,13875.3
0x5134,427.1,4558.5
0xd418,529.8,6127.3
0x256c,337.1,4226.1
0x6055,2127.2,23866.2
0x1568,945.2,16200.7
0x1c60,294.8,2525.1
0x7944,1022.9,14743.5
0x77ee,1008,10765.5
0x2192,817.4,12860.9
0x48c7,915.8,9015.7
0x78bf,1219.7,23974.8
0xe00d,462,5892.9
0x1e86,1736.3,30228.3
0xcff0,179,1983.7
0x1e2d,668.3,8628.3
0xd072,566.8,7816.8
0x427b,1357.9,22713.9
0x52e2,2057.8,36933.9
0xb5d2,1592.7,30462.9
0x98ca,734.5,8961.6
0x644b,1371.8,21658.7
0x7a2d,1110.6,19812.8
0xe13f,571,5309.9
0xc278,1597.9,26600.3
0x5912,128.5,1572.4
0xab33,1226.2,17411.7
0xdd96,1070.1,15019.3
0x7646,967.8,15225.6
0x5ef5,1898.6,26989.1
0x7ef7,958.6,16408.2
0x1136,915.8,8262.6
0xd032,842.9,15395.7
0xcf18,576.8,7854.8
0x1dad,202.3,2007.8
0xc918,1665.6,19421.3
0x33c1,1490.4,14069.1
0x27fe,383,4651.4
0x1536,831.4,10631.7
0xa152,808.1,12423
0x9c9a,1092.2,14537.5
0x3052,700.7,11947.9
0x1045,425.3,8051.5
0x2391,1125.4,16486.8
0x7ddd,1112.7,16318.4
0x279f,1173.2,21091.8
0xaefa,546.3,7371.5
0xdad6,1683.9,31081.4
0xc237,852.8,8813.2
0x4efc,582.4,8994.9
0x6e33,837.8,12034.6
0xd92f,1517.1,14831.7
0xd902,1557.2,20399.1
0xd91a,1743.8,21170.9
0x4f0c,1399.4,25757.7
0x8456,2125.2,25080.7
0x3329,540.7,9685.3
0x1aa8,1620.6,24486.2
0xd27b,1906.9,31836.9
0xadd6,1478.3,17193.5
0x7c60,220.9,2140.8
0xc63e,1712.9,16811.8
0x7b03,817.4,12860.9
0x4314,995.4,10957.1
0x70b1,1266.8,19595.2
0x59e5,665.1,10347
0xdeac,1555.9,16969.1
0xa053,1528.5,25371.2
0xd3bc,1120,19667.1
0x7c84,542.5,6569.2
0x96d2,1224.7,19735.3
0x77b5,530.5,5792.8
0x75dc,1852.1,28028.4
0xbe78,1356.3,20498.5
0x35a2,232.3,3148
0x416f,2089.2,34925.5
0xa4f5,589.1,6559.4
0xa4eb,546.3,6743.5
